query; baselineQuery; nlQuery; mlQuery
"SELECT MAX(t.""runtime_minutes"") FROM imdb2.""person"" as pe INNER JOIN imdb2.""year"" as y ON pe.""birthyear_id"" = y.""year_id"" INNER JOIN imdb2.""title"" as t ON y.""year_id"" = t.""release_date_id"" INNER JOIN imdb2.""title_genre"" as tg ON t.""title_id"" = tg.""title_id"" INNER JOIN imdb2.""genre"" as g ON tg.""genre_id"" = g.""genre_id"" WHERE y.""year"" <> '2019' AND t.""format_id"" <> '3' AND tg.""genre_id"" <> '7' GROUP BY t.""average_rating"", t.""runtime_minutes"" HAVING MAX(t.""runtime_minutes"") > '10' ORDER BY t.""average_rating"" ASC;";Form the intersection that contains the corresponding entries of the tables person and year and the intersection that contains the corresponding entries of the tables year and title and the intersection that contains the corresponding entries of the tables title and title_genre and the intersection that contains the corresponding entries of the tables title_genre and genre. Return the column the maximum of runtime_minutes. Only return the data for which year doesn't equal '2019', format_id doesn't equal '3', genre_id doesn't equal '7' is true. A further constraint is the maximum of runtime_minutes is greater than '10' . Group the result by average_rating and runtime_minutes. Sort the result ascending by average_rating.;Find the maximum of runtime_minutes for all person and [MASK] corresponding year and year and [MASK] corresponding title and title and genre [MASK] [MASK] the year is not '2019', the format-id is not '3', the genre-id is not '7'.  the maximum of runtime_minutes is larger than '10' .Sort the result by the average rating in ascending order.;
"SELECT pe.""person_id"", COUNT(y.""year_id""), COUNT(t.""vote_amount"") FROM imdb2.""person"" as pe INNER JOIN imdb2.""year"" as y ON pe.""birthyear_id"" = y.""year_id"" INNER JOIN imdb2.""title"" as t ON y.""year_id"" = t.""release_date_id"" INNER JOIN imdb2.""title_genre"" as tg ON t.""title_id"" = tg.""title_id"" INNER JOIN imdb2.""genre"" as g ON tg.""genre_id"" = g.""genre_id"" WHERE t.""runtime_minutes"" IS NOT NULL OR g.""genre"" <> 'Game-Show' GROUP BY pe.""person_id"", y.""year_id"", y.""year_id"" HAVING COUNT(y.""year_id"") > '186' ORDER BY y.""year_id"" DESC;";Form the intersection that contains the corresponding entries of the tables person and year and the intersection that contains the corresponding entries of the tables year and title and the intersection that contains the corresponding entries of the tables title and title_genre and the intersection that contains the corresponding entries of the tables title_genre and genre. Return the columns person_id, the amount of year_id and the amount of vote_amount. Only return the data for which runtime_minutes undefined, genre doesn't equal 'Game-Show' is true. A further constraint is the amount of year_id is greater than '186' . Group the result by person_id, year_id and year_id. Sort the result descending by year_id.;Find the person-ids, the count of year_id and the count of vote_amount for all person and [MASK] corresponding year and year and [MASK] corresponding title and title and genre [MASK] [MASK] the runtime undefined, the film genre is not 'Game-Show'.  the count of year_id is larger than '186' .Sort the result by the year-id in descending order.;
"SELECT COUNT(tg.""title_id""), COUNT(t.""vote_amount"") FROM imdb2.""genre"" as g INNER JOIN imdb2.""title_genre"" as tg ON g.""genre_id"" = tg.""genre_id"" INNER JOIN imdb2.""title"" as t ON tg.""title_id"" = t.""title_id"" INNER JOIN imdb2.""title_name"" as tn ON t.""title_name_id"" = tn.""title_name_id"" INNER JOIN imdb2.""localization"" as lo ON tn.""title_name_id"" = lo.""title_name_id"" WHERE t.""title_id"" BETWEEN '145' AND '160' AND t.""vote_amount"" IS NOT NULL AND t.""title_name_id"" > '720703' GROUP BY t.""is_adult"", t.""vote_amount"" HAVING COUNT(t.""vote_amount"") <= '1050' ORDER BY t.""is_adult"" ASC;";Form the intersection that contains the corresponding entries of the tables genre and title_genre and the intersection that contains the corresponding entries of the tables title_genre and title and the intersection that contains the corresponding entries of the tables title and title_name and the intersection that contains the corresponding entries of the tables title_name and localization. Return the columns the amount of title_id and the amount of vote_amount. Only return the data for which title_id is is between 145 and 160, vote_amount undefined, title_name_id is greater than '720703' is true. A further constraint is the amount of vote_amount is smaller or equal than '1050' . Group the result by is_adult and vote_amount. Sort the result ascending by is_adult.;Find the count of title_id and the count of vote_amount for all titles [MASK] the title-id is between 145 and 160, the number of votes undefined, the title-name-id is larger than '720703'.  the count of vote_amount is smaller or the same as '1050' .Sort the result by the wether or not the title is rated adult in ascending order.;
"SELECT t.""title_name_id"", lo.""localization_id"" FROM imdb2.""genre"" as g INNER JOIN imdb2.""title_genre"" as tg ON g.""genre_id"" = tg.""genre_id"" INNER JOIN imdb2.""title"" as t ON tg.""title_id"" = t.""title_id"" INNER JOIN imdb2.""title_name"" as tn ON t.""title_name_id"" = tn.""title_name_id"" INNER JOIN imdb2.""localization"" as lo ON tn.""title_name_id"" = lo.""title_name_id"" WHERE t.""runtime_minutes"" IS NULL AND lo.""localization_id"" BETWEEN '226' AND '358' ORDER BY tg.""title_id"" DESC;";Form the intersection that contains the corresponding entries of the tables genre and title_genre and the intersection that contains the corresponding entries of the tables title_genre and title and the intersection that contains the corresponding entries of the tables title and title_name and the intersection that contains the corresponding entries of the tables title_name and localization. Return the columns title_name_id and localization_id. Only return the data for which runtime_minutes undefined, localization_id is is between 226 and 358 is true.   Sort the result descending by title_id.;Find the title-name-ids and the localization-ids for all titles [MASK] the runtime undefined, the localization-id is between 226 and 358. Sort the result by the title-id in descending order.;
"SELECT MIN(t.""vote_amount"") FROM imdb2.""title"" as t INNER JOIN imdb2.""title_name"" as tn ON t.""title_name_id"" = tn.""title_name_id"" WHERE t.""title_id"" < '481' OR t.""title_name_id"" < '3458058' OR tn.""title_name_id"" > '55' GROUP BY t.""format_id"", t.""vote_amount"" HAVING MIN(t.""vote_amount"") BETWEEN '1050' AND '1038' ORDER BY t.""format_id"" ASC;";Form the intersection that contains the corresponding entries of the tables title and title_name. Return the column the minimum of vote_amount. Only return the data for which title_id is smaller than '481', title_name_id is smaller than '3458058', title_name_id is greater than '55' is true. A further constraint is the minimum of vote_amount is between 1050 and 1038 . Group the result by format_id and vote_amount. Sort the result ascending by format_id.;Find the minimum of vote_amount for all titles [MASK] the title-id is smaller than '481', the title-name-id is smaller than '3458058', the title-name-id is larger than '55'.  the minimum of vote_amount is between 1050 and 1038 .Sort the result by the format-id in ascending order.;
"SELECT t.""is_adult"", COUNT(pe.""birthyear_id"") FROM imdb2.""title"" as t INNER JOIN imdb2.""year"" as y ON t.""release_date_id"" = y.""year_id"" INNER JOIN imdb2.""person"" as pe ON y.""year_id"" = pe.""birthyear_id"" WHERE t.""vote_amount"" >= '251' AND t.""runtime_minutes"" IS NULL OR pe.""person_id"" BETWEEN '426' AND '146' GROUP BY t.""is_adult"", t.""format_id"", pe.""birthyear_id"" HAVING COUNT(pe.""birthyear_id"") >= '596' ORDER BY t.""format_id"" ASC;";Form the intersection that contains the corresponding entries of the tables title and year and the intersection that contains the corresponding entries of the tables year and person. Return the columns is_adult and the amount of birthyear_id. Only return the data for which vote_amount is greater or equal than '251', runtime_minutes undefined, person_id is is between 426 and 146 is true. A further constraint is the amount of birthyear_id is greater or equal than '596' . Group the result by is_adult, format_id and birthyear_id. Sort the result ascending by format_id.;Find the wether or not the title is rated adult and the count of birthyear_id for all title and [MASK] corresponding year and year and [MASK] corresponding person [MASK] [MASK] the number of votes is greater or the same as '251', the runtime undefined, the person-id is between 426 and 146.  the count of birthyear_id is greater or the same as '596' .Sort the result by the format-id in ascending order.;
"SELECT pe.""name_id"" FROM imdb2.""person"" as pe INNER JOIN imdb2.""year"" as y ON pe.""birthyear_id"" = y.""year_id"" WHERE pe.""deathhyear_id"" > '58' AND pe.""name_id"" = '8878673' OR pe.""birthyear_id"" <= '460' OR pe.""person_id"" >= '307' ORDER BY pe.""person_id"" DESC;";Form the intersection that contains the corresponding entries of the tables person and year. Return the column name_id. Only return the data for which deathhyear_id is greater than '58', name_id equals '8878673', birthyear_id is smaller or equal than '460', person_id is greater or equal than '307' is true.   Sort the result descending by person_id.;Find the name-ids for all persons [MASK] the deathyear-id is larger than '58', the name-id is '8878673', the birthyear-id is smaller or the same as '460', the person-id is greater or the same as '307'. Sort the result by the person-id in descending order.;
"SELECT COUNT(t.""runtime_minutes""), COUNT(t.""title_id"") FROM imdb2.""title"" as t INNER JOIN imdb2.""format"" as f ON t.""format_id"" = f.""format_id"" WHERE t.""title_id"" BETWEEN '238' AND '454' AND t.""runtime_minutes"" IS NULL OR t.""release_date_id"" = '28' GROUP BY f.""format"", t.""title_id"" HAVING COUNT(t.""title_id"") <> '448' ORDER BY f.""format"" ASC;";Form the intersection that contains the corresponding entries of the tables title and format. Return the columns the amount of runtime_minutes and the amount of title_id. Only return the data for which title_id is is between 238 and 454, runtime_minutes undefined, release_date_id equals '28' is true. A further constraint is the amount of title_id doesn't equal '448' . Group the result by format and title_id. Sort the result ascending by format.;Find the count of runtime_minutes and the count of title_id for all titles [MASK] the title-id is between 238 and 454, the runtime undefined, the release year id is '28'.  the count of title_id is not '448' .Sort the result by the format in ascending order.;
"SELECT COUNT(pe.""deathhyear_id"") FROM imdb2.""title"" as t INNER JOIN imdb2.""year"" as y ON t.""release_date_id"" = y.""year_id"" INNER JOIN imdb2.""person"" as pe ON y.""year_id"" = pe.""birthyear_id"" INNER JOIN imdb2.""person_profession"" as pp ON pe.""person_id"" = pp.""person_id"" INNER JOIN imdb2.""profession"" as p ON pp.""profession_id"" = p.""profession_id"" WHERE t.""title_id"" <= '246' AND t.""title_name_id"" = '3167268' AND pe.""deathhyear_id"" BETWEEN '482' AND '540' AND pe.""birthyear_id"" = '589' GROUP BY p.""profession"", pe.""deathhyear_id"" HAVING COUNT(pe.""deathhyear_id"") < '543' ORDER BY p.""profession"" DESC;";Form the intersection that contains the corresponding entries of the tables title and year and the intersection that contains the corresponding entries of the tables year and person and the intersection that contains the corresponding entries of the tables person and person_profession and the intersection that contains the corresponding entries of the tables person_profession and profession. Return the column the amount of deathhyear_id. Only return the data for which title_id is smaller or equal than '246', title_name_id equals '3167268', deathhyear_id is is between 482 and 540, birthyear_id equals '589' is true. A further constraint is the amount of deathhyear_id is smaller than '543' . Group the result by profession and deathhyear_id. Sort the result descending by profession.;Find the count of deathhyear_id for all title and [MASK] corresponding year and year and [MASK] corresponding person and person and profession [MASK] [MASK] the title-id is smaller or the same as '246', the title-name-id is '3167268', the deathyear-id is between 482 and 540, the birthyear-id is '589'.  the count of deathhyear_id is smaller than '543' .Sort the result by the profession in descending order.;
"SELECT pe.""birthyear_id"", COUNT(y.""year_id"") FROM imdb2.""person"" as pe INNER JOIN imdb2.""year"" as y ON pe.""birthyear_id"" = y.""year_id"" WHERE pe.""name_id"" <= '3007655' GROUP BY pe.""birthyear_id"", y.""year_id"" HAVING COUNT(y.""year_id"") = '324' ORDER BY pe.""birthyear_id"" ASC;";Form the intersection that contains the corresponding entries of the tables person and year. Return the columns birthyear_id and the amount of year_id. Only return the data for which name_id is smaller or equal than '3007655' is true. A further constraint is the amount of year_id equals '324' . Group the result by birthyear_id and year_id. Sort the result ascending by birthyear_id.;Find the birthyear-ids and the count of year_id for all persons [MASK] the name-id is smaller or the same as '3007655'.  the count of year_id is '324' .Sort the result by the birthyear-id in ascending order.;
"SELECT t.""vote_amount"", t.""release_date_id"" FROM imdb2.""profession"" as p INNER JOIN imdb2.""person_title"" as pt ON p.""profession_id"" = pt.""profession_id"" INNER JOIN imdb2.""title"" as t ON pt.""title_id"" = t.""title_id"" INNER JOIN imdb2.""title_name"" as tn ON t.""title_name_id"" = tn.""title_name_id"" WHERE tn.""title_name"" LIKE '%auna Sex %' ORDER BY p.""profession_id"" ASC;";Form the intersection that contains the corresponding entries of the tables profession and person_title and the intersection that contains the corresponding entries of the tables person_title and title and the intersection that contains the corresponding entries of the tables title and title_name. Return the columns vote_amount and release_date_id. Only return the data for which title_name starts with 'auna Sex '.   Sort the result ascending by profession_id.;Find the number of votes and the release year ids for all titles [MASK] the name of title starts with  'auna Sex '. Sort the result by the profession-id in ascending order.;
"SELECT p.""profession_id"", COUNT(t.""average_rating""), COUNT(t.""title_name_id"") FROM imdb2.""profession"" as p INNER JOIN imdb2.""person_title"" as pt ON p.""profession_id"" = pt.""profession_id"" INNER JOIN imdb2.""title"" as t ON pt.""title_id"" = t.""title_id"" WHERE pt.""person_id"" BETWEEN '1857036' AND '422809' AND t.""runtime_minutes"" IS NOT NULL GROUP BY p.""profession_id"", t.""title_name_id"" HAVING COUNT(t.""title_name_id"") BETWEEN '1733988' AND '3997397' ORDER BY pt.""profession_id"" DESC;";Form the intersection that contains the corresponding entries of the tables profession and person_title and the intersection that contains the corresponding entries of the tables person_title and title. Return the columns profession_id, the amount of average_rating and the amount of title_name_id. Only return the data for which person_id is is between 1857036 and 422809, runtime_minutes undefined is true. A further constraint is the amount of title_name_id is between 1733988 and 3997397 . Group the result by profession_id and title_name_id. Sort the result descending by profession_id.;Find the profession-ids, the count of average_rating and the count of title_name_id for all titles [MASK] the person-id is between 1857036 and 422809, the runtime undefined.  the count of title_name_id is between 1733988 and 3997397 .Sort the result by the profession-id in descending order.;
"SELECT t.""format_id"", COUNT(t.""runtime_minutes"") FROM imdb2.""profession"" as p INNER JOIN imdb2.""person_title"" as pt ON p.""profession_id"" = pt.""profession_id"" INNER JOIN imdb2.""title"" as t ON pt.""title_id"" = t.""title_id"" INNER JOIN imdb2.""title_name"" as tn ON t.""title_name_id"" = tn.""title_name_id"" WHERE p.""profession_id"" = '36' GROUP BY t.""format_id"", t.""runtime_minutes"" HAVING COUNT(t.""runtime_minutes"") BETWEEN '10' AND '14' ORDER BY t.""format_id"" DESC;";Form the intersection that contains the corresponding entries of the tables profession and person_title and the intersection that contains the corresponding entries of the tables person_title and title and the intersection that contains the corresponding entries of the tables title and title_name. Return the columns format_id and the amount of runtime_minutes. Only return the data for which profession_id equals '36' is true. A further constraint is the amount of runtime_minutes is between 10 and 14 . Group the result by format_id and runtime_minutes. Sort the result descending by format_id.;Find the format-ids and the count of runtime_minutes for all titles [MASK] the profession-id is '36'.  the count of runtime_minutes is between 10 and 14 .Sort the result by the format-id in descending order.;
"SELECT t.""runtime_minutes"", COUNT(t.""title_id"") FROM imdb2.""title"" as t INNER JOIN imdb2.""year"" as y ON t.""release_date_id"" = y.""year_id"" INNER JOIN imdb2.""person"" as pe ON y.""year_id"" = pe.""birthyear_id"" WHERE t.""title_id"" <> '105' AND t.""format_id"" >= '3' AND t.""title_name_id"" BETWEEN '3575413' AND '1784215' OR pe.""birthyear_id"" <> '24' GROUP BY t.""runtime_minutes"", t.""vote_amount"", t.""title_id"" HAVING COUNT(t.""title_id"") <= '156' ORDER BY t.""vote_amount"" DESC;";Form the intersection that contains the corresponding entries of the tables title and year and the intersection that contains the corresponding entries of the tables year and person. Return the columns runtime_minutes and the amount of title_id. Only return the data for which title_id doesn't equal '105', format_id is greater or equal than '3', title_name_id is is between 3575413 and 1784215, birthyear_id doesn't equal '24' is true. A further constraint is the amount of title_id is smaller or equal than '156' . Group the result by runtime_minutes, vote_amount and title_id. Sort the result descending by vote_amount.;Find the runtime and the count of title_id for all title and [MASK] corresponding year and year and [MASK] corresponding person [MASK] [MASK] the title-id is not '105', the format-id is greater or the same as '3', the title-name-id is between 3575413 and 1784215, the birthyear-id is not '24'.  the count of title_id is smaller or the same as '156' .Sort the result by the number of votes in descending order.;
"SELECT COUNT(t.""runtime_minutes"") FROM imdb2.""person"" as pe INNER JOIN imdb2.""year"" as y ON pe.""birthyear_id"" = y.""year_id"" INNER JOIN imdb2.""title"" as t ON y.""year_id"" = t.""release_date_id"" WHERE t.""is_adult"" = 'false' GROUP BY pe.""person_id"", t.""runtime_minutes"" HAVING COUNT(t.""runtime_minutes"") BETWEEN '100' AND '21' ORDER BY pe.""person_id"" DESC;";Form the intersection that contains the corresponding entries of the tables person and year and the intersection that contains the corresponding entries of the tables year and title. Return the column the amount of runtime_minutes. Only return the data for which is_adult equals 'false' is true. A further constraint is the amount of runtime_minutes is between 100 and 21 . Group the result by person_id and runtime_minutes. Sort the result descending by person_id.;Find the count of runtime_minutes for all person and [MASK] corresponding year and year and [MASK] corresponding title [MASK] [MASK] the wether or not the title is rated adult is 'false'.  the count of runtime_minutes is between 100 and 21 .Sort the result by the person-id in descending order.;
"SELECT p.""profession_id"", COUNT(pt.""title_id""), t.""format_id"" FROM imdb2.""profession"" as p INNER JOIN imdb2.""person_title"" as pt ON p.""profession_id"" = pt.""profession_id"" INNER JOIN imdb2.""title"" as t ON pt.""title_id"" = t.""title_id"" WHERE t.""title_id"" > '289' OR t.""title_name_id"" >= '5942050' GROUP BY p.""profession_id"", t.""format_id"", pt.""title_id"" HAVING COUNT(pt.""title_id"") <> '237' ORDER BY pt.""profession_id"" DESC;";Form the intersection that contains the corresponding entries of the tables profession and person_title and the intersection that contains the corresponding entries of the tables person_title and title. Return the columns profession_id, the amount of title_id and format_id. Only return the data for which title_id is greater than '289', title_name_id is greater or equal than '5942050' is true. A further constraint is the amount of title_id doesn't equal '237' . Group the result by profession_id, format_id and title_id. Sort the result descending by profession_id.;Find the profession-ids, the count of title_id and the format-ids for all titles [MASK] the title-id is larger than '289', the title-name-id is greater or the same as '5942050'.  the count of title_id is not '237' .Sort the result by the profession-id in descending order.;
"SELECT t.""title_name_id"", AVG(t.""runtime_minutes"") FROM imdb2.""profession"" as p INNER JOIN imdb2.""person_title"" as pt ON p.""profession_id"" = pt.""profession_id"" INNER JOIN imdb2.""title"" as t ON pt.""title_id"" = t.""title_id"" WHERE p.""profession"" NOT LIKE '%%' AND t.""title_id"" < '305' OR t.""format_id"" BETWEEN '7' AND '3' GROUP BY t.""title_name_id"", t.""runtime_minutes"", pt.""title_id"" HAVING AVG(t.""runtime_minutes"") <= '7' ORDER BY pt.""title_id"" DESC;";Form the intersection that contains the corresponding entries of the tables profession and person_title and the intersection that contains the corresponding entries of the tables person_title and title. Return the columns title_name_id and the average of runtime_minutes. Only return the data for which title_id is smaller than '305' and format_id is is between 7 and 3 is true and profession doesn't contain ''. A further constraint is the average of runtime_minutes is smaller or equal than '7' . Group the result by title_name_id, runtime_minutes and title_id. Sort the result descending by title_id.;Find the title-name-ids and the average of runtime_minutes for all titles [MASK]the title-id is smaller than '305' and the format-id is between 7 and 3  and the profession doesn't contain ''.  the average of runtime_minutes is smaller or the same as '7' .Sort the result by the title-id in descending order.;
"SELECT COUNT(pe.""birthyear_id""), COUNT(pe.""name_id"") FROM imdb2.""person"" as pe INNER JOIN imdb2.""year"" as y ON pe.""birthyear_id"" = y.""year_id"" INNER JOIN imdb2.""title"" as t ON y.""year_id"" = t.""release_date_id"" WHERE t.""title_id"" >= '156' GROUP BY y.""year"", pe.""name_id"" HAVING COUNT(pe.""name_id"") BETWEEN '194791' AND '3915391' ORDER BY y.""year"" ASC;";Form the intersection that contains the corresponding entries of the tables person and year and the intersection that contains the corresponding entries of the tables year and title. Return the columns the amount of birthyear_id and the amount of name_id. Only return the data for which title_id is greater or equal than '156' is true. A further constraint is the amount of name_id is between 194791 and 3915391 . Group the result by year and name_id. Sort the result ascending by year.;Find the count of birthyear_id and the count of name_id for all person and [MASK] corresponding year and year and [MASK] corresponding title [MASK] [MASK] the title-id is greater or the same as '156'.  the count of name_id is between 194791 and 3915391 .Sort the result by the year in ascending order.;
"SELECT COUNT(pe.""person_id"") FROM imdb2.""person"" as pe INNER JOIN imdb2.""year"" as y ON pe.""birthyear_id"" = y.""year_id"" WHERE pe.""person_id"" <> '267' OR pe.""name_id"" BETWEEN '273242' AND '4456969' OR pe.""birthyear_id"" IS NULL AND y.""year_id"" >= '459' GROUP BY pe.""deathhyear_id"", pe.""person_id"" HAVING COUNT(pe.""person_id"") = '269' ORDER BY pe.""deathhyear_id"" ASC;";Form the intersection that contains the corresponding entries of the tables person and year. Return the column the amount of person_id. Only return the data for which person_id doesn't equal '267', name_id is is between 273242 and 4456969, birthyear_id undefined, year_id is greater or equal than '459' is true. A further constraint is the amount of person_id equals '269' . Group the result by deathhyear_id and person_id. Sort the result ascending by deathhyear_id.;Find the count of person_id for all persons [MASK] the person-id is not '267', the name-id is between 273242 and 4456969, the birthyear-id undefined, the year-id is greater or the same as '459'.  the count of person_id is '269' .Sort the result by the deathyear-id in ascending order.;
"SELECT COUNT(pe.""name_id""), COUNT(pe.""person_id""), COUNT(y.""year"") FROM imdb2.""person"" as pe INNER JOIN imdb2.""year"" as y ON pe.""birthyear_id"" = y.""year_id"" WHERE pe.""name_id"" >= '3509864' OR pe.""person_id"" <> '340' AND pe.""deathhyear_id"" = '89' OR y.""year_id"" BETWEEN '407' AND '51' GROUP BY y.""year_id"", y.""year"" HAVING COUNT(y.""year"") = '1904' ORDER BY y.""year_id"" ASC;";Form the intersection that contains the corresponding entries of the tables person and year. Return the columns the amount of name_id, the amount of person_id and the amount of year. Only return the data for which name_id is greater or equal than '3509864', person_id doesn't equal '340', deathhyear_id equals '89', year_id is is between 407 and 51 is true. A further constraint is the amount of year equals '1904' . Group the result by year_id and year. Sort the result ascending by year_id.;Find the count of name_id, the count of person_id and the count of year for all persons [MASK] the name-id is greater or the same as '3509864', the person-id is not '340', the deathyear-id is '89', the year-id is between 407 and 51.  the count of year is '1904' .Sort the result by the year-id in ascending order.;
"SELECT AVG(y.""year""), t.""release_date_id"", COUNT(t.""vote_amount"") FROM imdb2.""person"" as pe INNER JOIN imdb2.""year"" as y ON pe.""birthyear_id"" = y.""year_id"" INNER JOIN imdb2.""title"" as t ON y.""year_id"" = t.""release_date_id"" INNER JOIN imdb2.""title_name"" as tn ON t.""title_name_id"" = tn.""title_name_id"" WHERE pe.""deathhyear_id"" IS NULL OR pe.""name_id"" BETWEEN '4079314' AND '5109154' AND tn.""title_name_id"" <= '214' GROUP BY t.""release_date_id"", t.""runtime_minutes"", t.""vote_amount"" HAVING COUNT(t.""vote_amount"") >= '220' ORDER BY t.""runtime_minutes"" DESC;";Form the intersection that contains the corresponding entries of the tables person and year and the intersection that contains the corresponding entries of the tables year and title and the intersection that contains the corresponding entries of the tables title and title_name. Return the columns the average of year, release_date_id and the amount of vote_amount. Only return the data for which deathhyear_id undefined, name_id is is between 4079314 and 5109154, title_name_id is smaller or equal than '214' is true. A further constraint is the amount of vote_amount is greater or equal than '220' . Group the result by release_date_id, runtime_minutes and vote_amount. Sort the result descending by runtime_minutes.;Find the average of year, the release year ids and the count of vote_amount for all person and [MASK] corresponding year and year and [MASK] corresponding title and title and [MASK] corresponding title_name [MASK] [MASK] the deathyear-id undefined, the name-id is between 4079314 and 5109154, the title-name-id is smaller or the same as '214'.  the count of vote_amount is greater or the same as '220' .Sort the result by the runtime in descending order.;
"SELECT COUNT(pe.""person_id""), y.""year_id"", MIN(t.""runtime_minutes"") FROM imdb2.""person"" as pe INNER JOIN imdb2.""year"" as y ON pe.""birthyear_id"" = y.""year_id"" INNER JOIN imdb2.""title"" as t ON y.""year_id"" = t.""release_date_id"" WHERE pe.""deathhyear_id"" > '15' OR pe.""person_id"" <> '288' OR t.""average_rating"" >= '6.1' GROUP BY y.""year_id"", t.""runtime_minutes"" HAVING MIN(t.""runtime_minutes"") > '14' ORDER BY y.""year_id"" ASC;";Form the intersection that contains the corresponding entries of the tables person and year and the intersection that contains the corresponding entries of the tables year and title. Return the columns the amount of person_id, year_id and the minimum of runtime_minutes. Only return the data for which deathhyear_id is greater than '15', person_id doesn't equal '288', average_rating is greater or equal than '6.1' is true. A further constraint is the minimum of runtime_minutes is greater than '14' . Group the result by year_id and runtime_minutes. Sort the result ascending by year_id.;Find the count of person_id, the year-ids and the minimum of runtime_minutes for all person and [MASK] corresponding year and year and [MASK] corresponding title [MASK] [MASK] the deathyear-id is larger than '15', the person-id is not '288', the average rating is greater or the same as '6.1'.  the minimum of runtime_minutes is larger than '14' .Sort the result by the year-id in ascending order.;
"SELECT MIN(t.""runtime_minutes""), COUNT(t.""title_name_id"") FROM imdb2.""genre"" as g INNER JOIN imdb2.""title_genre"" as tg ON g.""genre_id"" = tg.""genre_id"" INNER JOIN imdb2.""title"" as t ON tg.""title_id"" = t.""title_id"" WHERE tg.""title_id"" >= '168' OR t.""format_id"" <= '3' GROUP BY g.""genre_id"", t.""title_name_id"" HAVING COUNT(t.""title_name_id"") = '1085947' ORDER BY g.""genre_id"" DESC;";Form the intersection that contains the corresponding entries of the tables genre and title_genre and the intersection that contains the corresponding entries of the tables title_genre and title. Return the columns the minimum of runtime_minutes and the amount of title_name_id. Only return the data for which title_id is greater or equal than '168', format_id is smaller or equal than '3' is true. A further constraint is the amount of title_name_id equals '1085947' . Group the result by genre_id and title_name_id. Sort the result descending by genre_id.;Find the minimum of runtime_minutes and the count of title_name_id for all titles [MASK] the title-id is greater or the same as '168', the format-id is smaller or the same as '3'.  the count of title_name_id is '1085947' .Sort the result by the genre-id in descending order.;
"SELECT COUNT(t.""title_id""), pe.""person_id"" FROM imdb2.""profession"" as p INNER JOIN imdb2.""person_title"" as pt ON p.""profession_id"" = pt.""profession_id"" INNER JOIN imdb2.""title"" as t ON pt.""title_id"" = t.""title_id"" INNER JOIN imdb2.""year"" as y ON t.""release_date_id"" = y.""year_id"" INNER JOIN imdb2.""person"" as pe ON y.""year_id"" = pe.""birthyear_id"" WHERE p.""profession_id"" BETWEEN '25' AND '22' OR t.""is_adult"" = 'false' OR y.""year"" BETWEEN '1767' AND '1819' GROUP BY pe.""person_id"", y.""year_id"", t.""title_id"" HAVING COUNT(t.""title_id"") BETWEEN '420' AND '421' ORDER BY y.""year_id"" ASC;";Form the intersection that contains the corresponding entries of the tables profession and person_title and the intersection that contains the corresponding entries of the tables person_title and title and the intersection that contains the corresponding entries of the tables title and year and the intersection that contains the corresponding entries of the tables year and person. Return the columns the amount of title_id and person_id. Only return the data for which profession_id is is between 25 and 22, is_adult equals 'false', year is is between 1767 and 1819 is true. A further constraint is the amount of title_id is between 420 and 421 . Group the result by person_id, year_id and title_id. Sort the result ascending by year_id.;Find the count of title_id and the person-ids for all profession and title and title and [MASK] corresponding year and year and [MASK] corresponding person [MASK] [MASK] the profession-id is between 25 and 22, the wether or not the title is rated adult is 'false', the year is between 1767 and 1819.  the count of title_id is between 420 and 421 .Sort the result by the year-id in ascending order.;
"SELECT t.""runtime_minutes"", t.""title_id"", t.""format_id"" FROM imdb2.""title"" as t INNER JOIN imdb2.""year"" as y ON t.""release_date_id"" = y.""year_id"" INNER JOIN imdb2.""person"" as pe ON y.""year_id"" = pe.""birthyear_id"" INNER JOIN imdb2.""name"" as n ON pe.""name_id"" = n.""name_id"" WHERE y.""year_id"" BETWEEN '110' AND '430' OR y.""year"" BETWEEN '1662' AND '2024' ORDER BY t.""title_name_id"" ASC;";Form the intersection that contains the corresponding entries of the tables title and year and the intersection that contains the corresponding entries of the tables year and person and the intersection that contains the corresponding entries of the tables person and name. Return the columns runtime_minutes, title_id and format_id. Only return the data for which year_id is is between 110 and 430, year is is between 1662 and 2024 is true.   Sort the result ascending by title_name_id.;Find the runtime, the title-ids and the format-ids for all title and [MASK] corresponding year and year and [MASK] corresponding person and person and [MASK] corresponding name [MASK] [MASK] the year-id is between 110 and 430, the year is between 1662 and 2024. Sort the result by the title-name-id in ascending order.;
